symbol,config_name,config_hash,passed,reasons,total_oos_trades,profitable_folds,total_folds,mean_oos_sharpe,worst_fold_drawdown_pct,aggregate_net_profit,deflated_sharpe_ratio,probability_of_backtest_overfitting,multiple_testing_warning
BTC/USDT,aggressive_regime,875ef99b96e13d94f060b2aff45de4a0d2f0c014b4cc01e4cfdd3f622663f711,False,DEFLATED_SHARPE_RATIO_BELOW_MIN:0.71958<0.95,40,2,3,0.6013333333333333333333333333,1.958480215014981779101231089,2316.200508309390000000,0.71958,0.0,
ETH/USDT,aggressive_regime,875ef99b96e13d94f060b2aff45de4a0d2f0c014b4cc01e4cfdd3f622663f711,False,MEAN_OOS_SHARPE_BELOW_MIN:-0.0475<0.5;AGGREGATE_NET_PNL_NOT_POSITIVE:-182.032160099115000000;DEFLATED_SHARPE_RATIO_BELOW_MIN:0.044496<0.95,48,2,3,-0.0475,2.243861066259568704869468537,-182.032160099115000000,0.044496,0.0,
BTC/USDT,baseline,c63e557c0481f3579aa7685b5b0456e124d89e0cba093820bd401776049c85a6,False,DEFLATED_SHARPE_RATIO_BELOW_MIN:0.895305<0.95,35,2,3,0.7433333333333333333333333333,1.814306822600813584767665450,2821.433367857655000000,0.895305,0.0,
ETH/USDT,baseline,c63e557c0481f3579aa7685b5b0456e124d89e0cba093820bd401776049c85a6,False,PROFITABLE_FOLD_RATIO_BELOW_MIN:0/3;MEAN_OOS_SHARPE_BELOW_MIN:-0.4242<0.5;AGGREGATE_NET_PNL_NOT_POSITIVE:-1231.078834228200000000;DEFLATED_SHARPE_RATIO_BELOW_MIN:0.000112<0.95,39,0,3,-0.4242,1.90957109850186000,-1231.078834228200000000,0.000112,0.0,
BTC/USDT,breakout_sensitive,854c75c09f99a277eeba5bdd765011d0e543065a89be86cc5df75390a2246408,False,DEFLATED_SHARPE_RATIO_BELOW_MIN:0.810363<0.95,36,2,3,0.6643333333333333333333333333,1.814306822600813584767665450,2680.412830331745000000,0.810363,0.0,
ETH/USDT,breakout_sensitive,854c75c09f99a277eeba5bdd765011d0e543065a89be86cc5df75390a2246408,False,PROFITABLE_FOLD_RATIO_BELOW_MIN:0/3;MEAN_OOS_SHARPE_BELOW_MIN:-0.5853<0.5;AGGREGATE_NET_PNL_NOT_POSITIVE:-2129.910963969045000000;DEFLATED_SHARPE_RATIO_BELOW_MIN:0.000002<0.95,41,0,3,-0.5853,2.828839303728260715691640170,-2129.910963969045000000,0.000002,0.0,
BTC/USDT,breakout_strict,c3ca2c77ddf824df656bd6b276a672913260322d0b902126bd3faf440a510d21,False,DEFLATED_SHARPE_RATIO_BELOW_MIN:0.895884<0.95,35,2,3,0.7440,1.814306822600813584767665450,2823.184175832075000000,0.895884,0.0,
ETH/USDT,breakout_strict,c3ca2c77ddf824df656bd6b276a672913260322d0b902126bd3faf440a510d21,False,PROFITABLE_FOLD_RATIO_BELOW_MIN:0/3;MEAN_OOS_SHARPE_BELOW_MIN:-0.4205666666666666666666666667<0.5;AGGREGATE_NET_PNL_NOT_POSITIVE:-1219.431308831505000000;DEFLATED_SHARPE_RATIO_BELOW_MIN:0.000121<0.95,39,0,3,-0.4205666666666666666666666667,1.90957109850186000,-1219.431308831505000000,0.000121,0.0,
BTC/USDT,conservative_regime,2346ba159652e527da38d57298ca6842d6b8e893b357710d66fecaab427e7516,False,PROFITABLE_FOLD_RATIO_BELOW_MIN:1/3;MEAN_OOS_SHARPE_BELOW_MIN:-0.3333666666666666666666666667<0.5;DEFLATED_SHARPE_RATIO_BELOW_MIN:0.000025<0.95,26,1,3,-0.3333666666666666666666666667,0.8289587247036751200022612312,216.919117475595000000,0.000025,0.0,
ETH/USDT,conservative_regime,2346ba159652e527da38d57298ca6842d6b8e893b357710d66fecaab427e7516,False,PROFITABLE_FOLD_RATIO_BELOW_MIN:1/3;MEAN_OOS_SHARPE_BELOW_MIN:-0.4882333333333333333333333333<0.5;AGGREGATE_NET_PNL_NOT_POSITIVE:-1186.214137628175000000;DEFLATED_SHARPE_RATIO_BELOW_MIN:0.000284<0.95,29,1,3,-0.4882333333333333333333333333,1.490838438409907728523889882,-1186.214137628175000000,0.000284,0.0,
